id,Tweet,following,followers,actions,is_retweet,tweet_url
67,'@Nfraction_NFT 0x71Ed1E7cF8F3432aB73B5f6dA2Da1BD9e948C02e@ganesh48662482 @LisaHash66 @SurajKu25901535 #BinanceSmartChain #Giveaway #Airdrop #BSC￼ #ETH',1032,24,0,False,https://twitter.com/BIRENDR05909154/status/1467044053778780164
68,'Fui às minhas DMs e o @hearthstone_pt disse que eu era lindo mas codes nem vê-los. Portanto SUPERFAKE GIVEAWAY do bundle "Fractured in Alterac Valley"✅1. Follow @SuperFakeHS ✅2. Like &amp; RTSeriam:🧿60 packs🧿2 lendárias🧿Card Back gostosoBoa sorte SIIIIIIIIUUU kkkk 🇵🇹❤️ https://t.co/5iEIenhXy1',33,1,1157,True,https://twitter.com/SprootyHarry/status/1467040999948095497
69,'Fui às minhas DMs e o @hearthstone_pt disse que eu era lindo mas codes nem vê-los. Portanto SUPERFAKE GIVEAWAY do bundle "Fractured in Alterac Valley"✅1. Follow @SuperFakeHS ✅2. Like &amp; RTSeriam:🧿60 packs🧿2 lendárias🧿Card Back gostosoBoa sorte SIIIIIIIIUUU kkkk 🇵🇹❤️ https://t.co/5iEIenhXy1',673,214,1157,True,https://twitter.com/PenAndPencil2/status/1467039418976374785
70,'Fui às minhas DMs e o @hearthstone_pt disse que eu era lindo mas codes nem vê-los. Portanto SUPERFAKE GIVEAWAY do bundle "Fractured in Alterac Valley"✅1. Follow @SuperFakeHS ✅2. Like &amp; RTSeriam:🧿60 packs🧿2 lendárias🧿Card Back gostosoBoa sorte SIIIIIIIIUUU kkkk 🇵🇹❤️ https://t.co/5iEIenhXy1',75,1,1157,True,https://twitter.com/_Regoshi/status/1467037290002223104
71,'@TWICE_Giveaway @JYPETWICE MINA MIMOSA#SCIENTIST  #TWICE   @JYPETWICE #트와이스 https://t.co/fgSUB1U5Ng',2351,1654,0,False,https://twitter.com/chugatzutzu/status/1467035640915447808
72,'SORTEIO🚨Para comemorar os 5000 inscritos no canal do YouTube, estou sorteando uma pré-venda da nova expansãoInclui:tudo isso que tem na fotoPara participar➡️Me siga🔄Like+Retweet💬Comente sua carta favorita da nova expansão🏆Resultado 6/12 #Hearthstone #giveaway https://t.co/PmCk2Q1fx0',673,214,1021,True,https://twitter.com/PenAndPencil2/status/1467035630882287620
73,'@TWICE_Giveaway @JYPETWICE MINA MIMOSA#SCIENTIST #TWICE #트와이스  @JYPETWICE https://t.co/TJVmzJnYms',753,151,0,False,https://twitter.com/bebi_jeongyeon/status/1467035452230094848
74,'@ArtruNfts #NFT #NFTdrop #Giveaway #NFTGiveaways #Ethereum #NFTs #NFTGiveaway #Eth0x339396b58CeB4D10b5196a0986d21E260EB94Cc6',1418,76,0,False,https://twitter.com/ganuooh/status/1467035199498297345
75,'Fui às minhas DMs e o @hearthstone_pt disse que eu era lindo mas codes nem vê-los. Portanto SUPERFAKE GIVEAWAY do bundle "Fractured in Alterac Valley"✅1. Follow @SuperFakeHS ✅2. Like &amp; RTSeriam:🧿60 packs🧿2 lendárias🧿Card Back gostosoBoa sorte SIIIIIIIIUUU kkkk 🇵🇹❤️ https://t.co/5iEIenhXy1',429,2422,1157,True,https://twitter.com/goldrhcpgold/status/1467034812213252099
76,'@TWICE_Giveaway @JYPETWICE SANA ESPRESSO #SCIENTIST #TWICE #트와이스 @JYPETWICE https://t.co/h8tGhmyiCQ',379,243,0,False,https://twitter.com/Piano22091995/status/1467031602056159233
77,'@KFSnft @SolanaLabRats @KookCapitalLLC 🌮 x 🍴 x 🐀 = 🚀 LFG!#SolanaNFTs #Giveaway',661,105,2,False,https://twitter.com/kapihuepe/status/1467030572669497348
78,'Para celebrar o #VCTChampions e a proximidade do Natal de @Valorant_PT, estou a oferecer 1 pack Champions 2021 !Para entrar:▶️ Tag 2 friends (múltiplos posts=maior chance)▶️ Follow @LOCKDOWN_VAL ▶️ Cumprir os steps: https://t.co/W8vOuE9JyJ▶️ Follow no Instagram e YouTube https://t.co/fw4Z6GmkwR',98,2,60,True,https://twitter.com/JuanEsp91717318/status/1467028094527627267
79,'@CoopersNFTs @LionNfts @aeriinim @OkoyeEbenezer1 0xe4cae992d48478ce4cd38a9238fa14100505c763#NFT #NFTs #NFTGiveaway #NFTGiveaways #NFTdrop #Eth #Giveaway',399,25,0,False,https://twitter.com/OgodoChisom/status/1467027815942049792
80,'@TWICE_Giveaway @JYPETWICE MINA MIMOSA#SCIENTIST #TWICE #트와이스  @JYPETWICE https://t.co/QEZS2vFKc5',194,18,0,False,https://twitter.com/shinebrightyjy/status/1467027527335960581
81,'@CoopersNFTs @LionNfts @OkoyeEbenezer1@aeriinim0xe4cae992d48478ce4cd38a9238fa14100505c763#NFT #NFTs #NFTGiveaway #NFTGiveaways #NFTdrop #Eth #Giveaway',399,25,0,False,https://twitter.com/OgodoChisom/status/1467027284423065600
