id,Tweet,following,followers,actions,is_retweet,tweet_url
34,'#LOJAZITEDITORA OFERTA Duas festas de ciranda Código  [ duasfestas_20 ]  Válido: 31/12/2021 23:59:00  Mais cupons em:  &gt;&gt; https://t.co/A4PDjxgk5I#livros #Desconto #BlackFriday #BlackFriday2021',2306,2825,0,False,https://twitter.com/tatutaduro/status/1467093844323975171
35,'@BrunoFigueiredo @andrefrcastro Isto de certeza que é alteração de SLA para blackfriday e Natal para as grandes contas',670,1563,0,False,https://twitter.com/jorgeclpires/status/1467090296060231682
36,'#CONSUL OFERTA R$ 50,00 de desconto em frigobar Consul 117 litros com Gaveta Multiuso na Consul Código  [ LOUCOS50 ]  Válido: 06/12/2021 23:59:00  Mais cupons em:  &gt;&gt; https://t.co/6SacJ0Floe#eletrodomesticos #Desconto #BlackFriday #BlackFriday2021',2306,2825,0,False,https://twitter.com/tatutaduro/status/1467086290567168000
37,'Até hj, 1 semana dps, meu pedido da blackfriday da @americanas só consta como confirmado. A entrega era até dia 01/12, hj é dia 04/12. Ng responde no chat 🤡🤡🤡',97,91,0,False,https://twitter.com/figueiracarol/status/1467082128441626627
38,'Fiz duas compras fora na blackfriday uma eu coloquei no endereço novo o outro eu esqueci de trocar o endereço e foi pro meu ap antigo',504,1121,0,False,https://twitter.com/whoiskaique/status/1467080736050196485
39,'#NEWCHIC OFERTA 20% OFF nos itens selecionados loja Newchic Código  [ NCAFF20 ]  Válido: 30/04/2022 23:59:00  Mais cupons em:  &gt;&gt; https://t.co/qoA3SywmSW#modaeacessorios #Desconto #BlackFriday #BlackFriday2021',2306,2825,0,False,https://twitter.com/tatutaduro/status/1467078743462187012
40,'Falta um pacotinho, mas eu não me aguentei. Tudo do esquenta e da blackfriday. Unboxing https://t.co/3MBBxtNaFb',1409,2336,3,True,https://twitter.com/pwrposearch/status/1467078706946621442
41,'#LGBTRIOSEXSHOP OFERTA 10% na PRIMEIRACOMPRA Código  [ PRIMEIRACOMPRA ]  Válido: 31/12/2021 23:59:00  Mais cupons em:  &gt;&gt; https://t.co/sIP7tTHKHn#maisofertas #Desconto #BlackFriday #BlackFriday2021',2306,2825,0,False,https://twitter.com/tatutaduro/status/1467071198014103559
42,'Quer ganhar R$10 de graça no PICPAY?  😱 😱Basta adicionar este código promocional 👉👉 3A2LYT 👈👈 e realizar uma compra no crédito!Aproveite! 🤗Tempo limitado!!#picpay #dinheiro #renda #cashback #blackfriday https://t.co/0w4zb5Et3n',20,113,0,False,https://twitter.com/promo_mkd/status/1467069415783079940
43,'"Você tava sem dinheiro nessa blackfriday, então não comprou livro nenhum?" https://t.co/YkcqTyYAj5',365,54,11,True,https://twitter.com/y4kultie/status/1467065834736693250
